Time,W,X,Y
0.008,2121,1717,429
0.008,2115,1709,434
0.031,2116,1709,433
0.031,2117,1717,428
0.032,2117,1717,428
0.032,2113,1717,431
0.058,2118,1715,438
0.058,2113,1717,431
0.085,2118,1715,438
0.085,2119,1709,431
0.085,2119,1709,431
0.113,2113,1712,427
0.113,2127,1720,435
0.14,2127,1720,435
0.14,2112,1716,431
0.14,2112,1716,431
0.167,2118,1718,440
0.168,2118,1718,440
0.194,2110,1712,428
0.194,2110,1712,428
0.194,2113,1709,430
0.194,2122,1710,446
0.219,2116,1716,429
0.246,2116,1716,429
0.246,2113,1714,429
0.247,2113,1714,429
0.247,2118,1711,425
0.276,2118,1711,425
0.303,2110,1716,424
0.303,2105,1703,420
0.303,2105,1703,420
0.303,2120,1715,432
0.33,2120,1715,432
0.33,2107,1719,438
0.357,2116,1709,437
0.357,2116,1709,437
0.357,2110,1714,425
0.357,2110,1714,425
0.386,2115,1706,424
0.386,2115,1706,424
0.414,2117,1716,434
0.415,2117,1716,434
0.416,2110,1709,434
0.416,2110,1709,434
0.442,2119,1716,429
0.442,2119,1716,429
0.47,2113,1719,429
0.47,2113,1719,429
0.471,2118,1714,435
0.471,2118,1714,435
0.498,2118,1710,430
0.498,2118,1710,430
0.526,2118,1714,439
0.526,2118,1714,439
0.526,2117,1716,435
0.526,2117,1716,435
0.555,2120,1712,432
0.555,2120,1712,432
0.582,2119,1719,431
0.582,2119,1719,431
0.61,2124,1719,424
0.61,2124,1719,424
0.61,2109,1717,441
0.611,2109,1717,441
0.638,2117,1717,427
0.638,2117,1717,427
0.639,2119,1716,426
0.639,2119,1716,426
0.665,2124,1713,444
0.665,2124,1713,444
0.693,2122,1708,434
0.693,2122,1708,434
0.693,2109,1715,434
0.693,2109,1715,434
0.72,2104,1716,415
0.72,2104,1716,415
0.747,2113,1722,429
0.747,2113,1722,429
0.748,2122,1720,435
0.748,2122,1720,435
0.775,2120,1718,433
0.775,2120,1718,433
0.809,2116,1713,434
0.809,2116,1713,434
0.829,2119,1717,428
0.829,2119,1717,428
0.829,2105,1710,428
0.83,2105,1710,428
0.85,2113,1715,427
0.871,2113,1715,427
0.872,2114,1716,431
0.89,2114,1716,431
0.891,2115,1717,440
0.891,2115,1717,440
0.891,2107,1709,432
0.911,2107,1709,432
0.911,2117,1719,438
0.932,2117,1719,438
0.932,2121,1716,439
0.953,2121,1716,439
0.953,2121,1716,436
0.975,2121,1716,436
0.975,2118,1716,440
0.996,2118,1716,440
0.996,2119,1716,438
1.018,2119,1716,438
1.018,2115,1703,421
1.038,2115,1703,421
1.038,2122,1712,425
1.058,2122,1712,425
1.058,2117,1713,436
1.059,2117,1713,436
1.059,2118,1710,438
1.08,2118,1710,438
1.08,2112,1712,428
1.101,2112,1712,428
1.101,2112,1708,420
1.122,2112,1708,420
1.122,2118,1720,435
1.145,2118,1720,435
1.145,2114,1715,434
1.164,2114,1715,434
1.164,2112,1711,431
1.185,2112,1711,431
1.185,2114,1736,423
1.205,2114,1736,423
1.205,2117,1701,427
