Time,25W,25X,25Y,25Z,25P,25Q
87.263,2288,2866,3987,360,361,363
87.264,2284,2862,4084,365,361,362
87.274,2282,2856,3974,361,359,355
87.292,2283,2861,3953,368,351,363
87.309,2277,2854,3960,358,362,359
87.330,2281,2855,3979,365,362,361
87.347,2283,2859,4090,360,361,366
87.367,2282,2855,3969,359,361,361
87.380,2262,2855,3840,351,354,355
87.394,2281,2866,3973,361,362,364
87.394,2284,2860,3990,361,361,359
87.410,2278,2862,4095,362,362,362
87.431,2280,2849,3970,357,360,357
87.448,2266,2858,3837,359,355,362
87.460,2283,2856,3941,360,356,354
87.476,2286,2859,3972,360,357,360
87.493,2291,2858,4095,362,363,367
87.512,2290,2855,3987,368,365,361
87.530,2275,2863,3846,365,368,351
87.530,2288,2865,3994,357,361,362
87.544,2285,2871,3965,355,359,361
87.559,2291,2867,4095,362,365,372
87.568,2287,2854,3964,360,364,362
87.589,2287,2856,3844,359,363,357
87.609,2281,2857,3984,360,359,359
87.629,2296,2864,3982,364,362,362
87.641,2300,2855,4095,364,355,366
87.655,2286,2857,3971,361,361,354
87.655,2274,2850,3872,362,361,360
87.669,2284,2860,4013,360,361,361
87.688,2283,2851,3991,364,356,355
87.710,2295,2864,4093,356,363,366
87.723,2280,2858,3967,359,362,358
87.735,2281,2855,3888,357,371,360
87.755,2292,2862,4005,363,358,361
87.777,2286,2854,3992,353,368,357
87.797,2304,2862,4095,362,365,366
87.797,2277,2858,3972,360,360,362
87.831,2269,2859,3870,362,364,361
87.831,2287,2858,3951,354,358,355
87.843,2282,2859,3986,359,358,352
87.863,2285,2847,4093,360,358,359
87.883,2279,2858,3973,357,364,362
87.902,2270,2849,3867,357,356,359
87.920,2277,2861,3952,358,362,362
87.931,2282,2859,3997,355,355,365
87.932,2288,2853,4087,361,360,366
87.944,2286,2857,3956,360,362,355
87.982,2283,2848,3873,355,359,354
87.982,2278,2852,3947,358,364,356
87.992,2288,2861,3989,358,358,360
88.009,2279,2863,4087,357,359,364
88.026,2280,2860,3981,361,353,358
88.047,2282,2848,3882,352,362,362
88.066,2276,2851,3947,354,360,359
88.067,2290,2857,4002,365,364,362
88.080,2282,2856,4063,366,363,362
88.100,2278,2864,3972,355,359,334
88.133,2287,2856,3926,356,355,361
88.133,2280,2855,3967,361,361,362
88.152,2286,2854,3995,362,361,360
88.172,2280,2860,4062,365,365,361
88.185,2284,2856,3985,363,355,357
88.201,2284,2854,3926,356,356,358
88.201,2285,2856,3976,367,363,362
88.213,2284,2858,4013,358,364,357
88.232,2285,2857,4081,354,360,359
