Time,25W,25X,25Y,25Z,25P,25Q
3.340,1912,2738,3668,116,114,107
3.360,1915,2742,3680,114,115,112
3.380,1929,2746,3813,109,109,117
3.400,1929,2748,4018,113,115,113
3.420,1920,2736,3882,114,113,111
3.440,1922,2738,3666,121,108,105
3.460,1919,2740,3666,115,111,113
3.480,1924,2738,3784,115,111,114
3.500,1924,2747,4039,111,117,114
3.520,1922,2731,3883,116,112,113
3.540,1926,2731,3668,107,109,109
3.560,1929,2743,3656,110,110,111
3.580,1922,2729,3781,112,110,114
3.600,1915,2743,4022,115,107,112
3.620,1914,2719,3888,113,113,120
3.640,1914,2743,3674,111,107,109
3.660,1916,2738,3637,111,113,107
3.680,1928,2739,3785,114,114,113
3.700,1939,2742,4064,107,110,116
3.720,1920,2740,3892,112,117,115
3.740,1927,2755,3679,105,111,113
3.760,1916,2736,3648,110,120,115
3.780,1921,2740,3789,115,113,107
3.800,1921,2738,4023,110,111,107
3.820,1922,2735,3896,107,114,106
3.840,1918,2739,3683,116,111,111
3.860,1923,2735,3623,120,109,113
3.880,1924,2740,3787,116,111,114
3.900,1915,2743,4031,117,111,113
3.920,1937,2756,3903,114,112,116
3.940,1929,2728,3673,107,116,107
3.960,1919,2732,3612,110,103,117
3.980,1916,2742,3785,114,110,114
4.000,1927,2746,4038,117,111,111
4.020,1915,2736,3890,110,109,107
4.040,1925,2728,3679,111,112,106
4.060,1916,2738,3592,113,115,111
4.080,1923,2744,3777,109,107,106
4.100,1941,2743,4063,110,111,110
4.120,1920,2744,3892,117,111,116
4.140,1919,2742,3670,112,107,107
4.160,1939,2731,3581,116,119,108
4.180,1923,2743,3779,111,112,113
4.200,1926,2745,4053,115,114,117
4.220,1919,2742,3891,116,106,115
4.240,1906,2733,3668,107,112,110
4.260,1924,2738,3580,106,113,109
4.280,1925,2747,3783,105,110,114
4.300,1919,2744,4052,112,111,111
4.320,1933,2737,3891,107,108,112
4.340,1921,2739,3668,117,111,110
4.360,1925,2742,3591,112,110,110
4.380,1919,2742,3777,113,107,109
4.400,1925,2742,4059,116,114,114
4.420,1915,2742,3893,108,107,111
4.440,1920,2741,3676,111,112,111
4.460,1925,2747,3582,107,111,114
4.480,1924,2744,3758,113,113,114
4.500,1921,2737,4056,115,116,116
4.520,1911,2739,3891,106,112,114
4.540,1915,2751,3662,112,107,95
4.560,1919,2735,3559,113,107,110
4.580,1918,2743,3767,112,107,112
4.600,1903,2739,4043,116,111,113
4.620,1917,2741,3893,107,114,110
4.640,1931,2739,3663,103,108,108
4.660,1917,2743,3575,117,110,102
4.680,1926,2739,3763,107,109,107
4.700,1919,2737,4058,112,114,116
4.720,1918,2733,3895,108,107,112
4.740,1919,2738,3656,117,109,113
4.760,1910,2740,3562,114,107,105
4.780,1916,2739,3768,110,107,112
4.800,1925,2744,4065,114,112,110
4.820,1928,2740,3907,113,112,108
4.840,1915,2736,3648,111,107,110
4.860,1914,2744,3551,111,110,113
4.880,1918,2741,3767,106,111,107
4.900,1923,2744,4075,109,109,114
4.920,1915,2736,3903,109,110,111
4.940,1924,2735,3653,110,112,107
4.960,1918,2735,3554,108,112,113
4.980,1917,2744,3764,110,114,110
5.000,1931,2750,4070,107,111,114
5.020,1912,2741,3893,117,108,104
5.040,1921,2736,3638,107,107,106
5.060,1915,2737,3551,106,112,114
5.080,1920,2742,3758,109,107,111
5.100,1924,2741,4072,118,110,107
5.120,1918,2740,3895,111,111,106
5.140,1906,2740,3650,105,102,107
5.160,1916,2739,3539,109,106,108
5.180,1932,2744,3766,112,110,106
5.200,1917,2744,4057,109,110,112
5.220,1919,2739,3904,112,110,113
5.240,1913,2735,3680,103,111,115
5.260,1917,2746,3536,114,105,109
5.280,1925,2731,3751,110,113,111
5.300,1921,2738,4064,114,103,112
5.320,1920,2739,3892,110,134,111
5.340,1909,2735,3693,111,109,111
5.360,1922,2742,3541,115,109,111
5.380,1920,2737,3742,108,109,113
5.400,1915,2739,4065,111,114,113
5.420,1921,2734,3908,115,114,114
5.440,1925,2741,3696,118,107,116
5.460,1920,2737,3532,107,106,110
5.480,1924,2743,3746,113,112,112
5.500,1926,2741,4084,117,115,116
5.520,1923,2741,3900,111,115,107
5.540,1926,2752,3700,122,113,118
5.560,1909,2735,3527,115,116,106
5.580,1921,2738,3746,114,110,112
5.600,1923,2740,4083,108,109,110
5.620,1920,2741,3901,111,99,111
5.640,1918,2730,3709,108,109,113
5.660,1914,2734,3543,108,109,106
5.680,1919,2737,3732,111,109,111
5.700,1923,2746,4073,102,109,112
5.720,1926,2743,3926,113,110,107
5.740,1912,2754,3730,106,101,106
5.760,1914,2738,3547,112,105,108
5.780,1923,2737,3732,105,103,105
5.800,1919,2745,4069,106,109,106
5.820,1912,2736,3917,108,105,106
5.840,1911,2735,3733,103,105,108
5.860,1917,2737,3566,107,107,109
5.880,1926,2735,3740,101,112,105
5.900,1933,2743,4055,109,94,112
5.920,1917,2734,3918,103,107,107
5.940,1915,2731,3751,103,108,107
5.960,1921,2744,3604,104,107,106
5.980,1922,2735,3763,108,108,108
6.000,1921,2739,4052,107,109,114
6.020,1917,2740,3916,112,109,112
6.040,1917,2733,3775,106,105,104
6.060,1924,2736,3618,111,112,110
6.080,1927,2746,3776,110,103,110
6.100,1919,2738,4052,112,111,112
6.120,1920,2749,3909,109,109,109
6.140,1911,2739,3777,112,107,109
6.160,1911,2731,3612,102,102,107
6.180,1915,2737,3766,114,108,107
6.200,1910,2741,4027,106,111,112
6.220,1911,2738,3909,113,112,110
6.240,1907,2734,3773,104,107,107
6.260,1936,2745,3612,102,110,107
6.280,1912,2731,3761,110,110,109
6.300,1915,2741,4019,109,106,107
6.320,1915,2738,3914,109,107,108
6.340,1916,2744,3803,105,110,105
6.360,1915,2738,3600,110,122,104
6.380,1918,2740,3754,107,111,108
6.400,1919,2742,4026,112,107,108
6.420,1914,2732,3918,110,109,106
6.440,1917,2742,3828,106,107,110
6.460,1919,2739,3600,115,112,107
6.480,1913,2740,3759,111,109,107
6.500,1921,2736,4005,102,116,102
6.520,1914,2736,3920,114,99,105
6.540,1915,2733,3833,105,106,102
6.560,1919,2730,3593,114,110,109
6.580,1919,2735,3752,101,101,108
6.600,1931,2738,4013,108,108,106
6.620,1928,2743,3928,108,107,106
6.640,1911,2737,3829,113,107,106
6.660,1914,2740,3589,113,104,109
6.680,1915,2736,3751,116,112,105
6.700,1910,2744,4004,107,108,104
6.720,1911,2731,3917,106,110,108
6.740,1910,2733,3831,109,114,106
6.760,1920,2740,3600,108,106,110
6.780,1916,2736,3749,106,107,106
6.800,1926,2748,4017,108,111,109
6.820,1911,2710,3922,109,103,112
6.840,1925,2738,3831,112,106,104
6.860,1918,2740,3591,109,109,112
6.880,1917,2738,3750,110,112,108
6.900,1928,2743,4012,103,109,108
6.920,1920,2734,3920,109,111,107
6.940,1921,2744,3835,110,105,103
6.960,1905,2738,3592,105,107,111
6.980,1923,2745,3754,111,103,107
7.000,1916,2739,3996,114,103,105
7.020,1911,2735,3917,111,109,106
7.040,1907,2740,3848,110,107,110
7.060,1911,2737,3592,106,106,101
7.080,1916,2740,3738,109,105,105
7.100,1923,2737,3984,113,109,114
7.120,1914,2739,3926,106,104,111
7.140,1921,2737,3850,107,107,110
7.160,1919,2742,3591,109,106,108
7.180,1918,2741,3732,110,106,108
7.200,1916,2739,3984,107,109,109
