fold,epoch,train_loss,train_acc,val_loss,val_acc,lr,label_smoothing
2,1,2.2192310355958487,0.13119986148639803,2.1969319661458333,0.10833333333333334,1.08e-05,0.05
2,2,2.204459611574809,0.11953728582177843,2.1709269205729167,0.1,1.56e-05,0.05
2,3,2.172398771558489,0.1281474280925024,2.150895182291667,0.09583333333333334,2.04e-05,0.05
2,4,2.168396050589425,0.1265742267881121,2.13807373046875,0.0875,2.5200000000000003e-05,0.05
2,5,2.157621454057239,0.1289113007131077,2.12769775390625,0.1,3e-05,0.05
2,6,2.122910488219488,0.15512694507903818,2.06829833984375,0.15833333333333333,3e-05,0.05
2,7,2.0508325497309365,0.19876713419244402,1.8178314208984374,0.275,2.999162345595382e-05,0.05
2,8,1.8582425219672067,0.29165543488093787,1.5033294677734375,0.4125,2.99665031793473e-05,0.05
2,9,1.6243243966783796,0.41875405850864594,1.3515584309895834,0.4666666666666667,2.992466722632756e-05,0.05
2,10,1.6087740080697195,0.4288402920677548,1.3666417439778646,0.4791666666666667,2.98661623223217e-05,0.05
2,11,1.5210928496860323,0.4573415571735019,1.2211929321289063,0.5166666666666667,2.979105380985043e-05,0.05
2,12,1.3919118699573336,0.5287654394195194,1.0534117380777994,0.5916666666666667,2.9699425575548802e-05,0.05
2,13,1.3804019201369513,0.5418100402468726,1.0467034657796224,0.6291666666666667,2.9591379956475555e-05,0.05
2,14,1.3463431926000686,0.5543886037099929,1.0394332885742188,0.6083333333333333,2.9467037625815645e-05,0.05
2,15,1.2551821141015915,0.6102542979376656,1.0873007456461588,0.5916666666666667,2.9326537458103684e-05,0.05
2,16,1.2352870952515376,0.6118420981225513,1.074551518758138,0.5958333333333333,2.917003637411878e-05,0.05
2,17,1.2566803131784712,0.6028626595224653,0.981927998860677,0.6375,2.8997709165624038e-05,0.05
2,18,1.232516204175495,0.6302369639987038,0.8510998407999675,0.7041666666666667,2.880974830014643e-05,0.05
2,19,1.1537802389689855,0.6689364626294091,0.8778768539428711,0.6708333333333333,2.8606363706015114e-05,0.05
2,20,1.1581529889787947,0.6689063111941019,0.8749741872151693,0.6916666666666667,2.838778253789822e-05,0.05
2,21,1.1172339269093106,0.6887420733769735,0.899206797281901,0.6791666666666667,2.8154248923100077e-05,0.05
2,22,1.076054641178676,0.6867914282140277,0.8141321818033854,0.7125,2.7906023688902094e-05,0.05
2,23,1.0541829756328038,0.7174357033911205,0.788646125793457,0.7416666666666667,2.7643384071251957e-05,0.05
2,24,0.9285983939965566,0.7609793691408067,0.8069685935974121,0.725,2.7366623405126405e-05,0.05
