epoch,train_loss,train_acc,val_loss,val_acc,lr,label_smoothing
1,2.238276903246656,0.1362276691009785,2.1871298171855784,0.11111111144224803,1.08e-05,0.1
2,2.1686635173985986,0.1482144282526573,2.128318781322903,0.16296296329409987,1.56e-05,0.1
3,2.1535728347448657,0.1367855030397081,2.089992489638152,0.2000000003311369,2.04e-05,0.1
4,2.1314910873365993,0.14248537930286226,2.0725299534974275,0.2,2.5200000000000003e-05,0.1
5,2.123161277770996,0.1487470287595082,2.0651999173340974,0.1925925925925926,3e-05,0.1
6,2.0780146350978335,0.19209821310054034,1.9220002960275722,0.281481483247545,3e-05,0.1
7,2.061543787850274,0.20397110604209664,1.5941471876921478,0.3925925943586561,2.9998033254984483e-05,0.1
8,1.9250686661991072,0.24814951906969518,1.252749569327743,0.48888889242101596,2.9992133535682725e-05,0.1
9,1.7557777846301044,0.3336700197355247,1.1278320268348412,0.5703703739024975,2.998230238919386e-05,0.1
10,1.696630577158045,0.370454338170864,0.8297957393858167,0.6814814823645132,2.9968542393565674e-05,0.1
11,1.612247878416085,0.40742616042678736,0.8528943560741565,0.6370370379200688,2.9950857157118544e-05,0.1
12,1.4924492860134737,0.48525286862879624,0.745032023942029,0.7407407416237726,2.9929251317499212e-05,0.1
13,1.4979078096224938,0.4738133435631976,0.615749348534478,0.7777777786608095,2.990373054046467e-05,0.1
14,1.3951202340773594,0.5276956650798703,0.6699632496745498,0.7555555555555555,2.9874301518396384e-05,0.1
15,1.3778288088904487,0.534636194176144,0.4921078871797632,0.8444444453274762,2.9840971968545348e-05,0.1
16,1.3522479926215278,0.5579159841125394,0.5778800272279315,0.8074074074074075,2.980375063100837e-05,0.1
17,1.290157975267481,0.5828303969642262,0.49324348657219497,0.837037037037037,2.9762647266436125e-05,0.1
18,1.2568639794985452,0.5972515569204165,0.4085215223056299,0.8740740740740741,2.9717672653473598e-05,0.1
19,1.2678834173414442,0.6009860689993258,0.4431771037755189,0.8740740740740741,2.9668838585933568e-05,0.1
20,1.2641208608650867,0.5985613811604771,0.5457176237194626,0.8148148148148148,2.9616157869703905e-05,0.1
21,1.1923209263954633,0.644878065350615,0.34319252449053306,0.9111111111111111,2.95596443193894e-05,0.1
22,1.1307650039814137,0.6739508367467809,0.4715121799045139,0.8518518527348836,2.949931275468918e-05,0.1
23,1.150798835342313,0.6593384869304704,0.4258580242042188,0.8592592592592593,2.9435178996510466e-05,0.1
24,1.159888780941198,0.6560389030421222,0.3308983573207149,0.9037037037037037,2.936725986281982e-05,0.1
25,1.0605248862725718,0.7083118404576808,0.33633003753644447,0.8962962962962963,2.9295573164232926e-05,0.1
26,0.993690161175198,0.7288521112924741,0.2981359996177532,0.9111111146432382,2.9220137699344072e-05,0.1
27,0.9618851537174649,0.7470435134864147,0.32569650521984805,0.896296297179328,2.914097324979653e-05,0.1
28,1.0263989631187769,0.7172692951743985,0.39993483865702595,0.8666666675496985,2.905810057509517e-05,0.1
29,0.9861891674112391,0.7427265294392904,0.39601805254265116,0.8814814823645133,2.897154140716265e-05,0.1
30,1.02574104697616,0.7280989598933562,0.31198405358526443,0.9037037072358308,2.8881318444640577e-05,0.1
31,0.9396864612014205,0.7646382182910119,0.30418368290971826,0.9259259294580531,2.87874553469372e-05,0.1
32,0.9500976467426913,0.7587470893800995,0.33032464804472744,0.9185185220506457,2.8689976728023116e-05,0.1
