,clipper,earbud,eraser,finger,hotpeltier,peltier,pen,sponge
clipper,238,5,5,23,10,5,1,13
earbud,2,197,48,0,8,4,40,1
eraser,2,31,226,0,2,4,28,7
finger,17,3,1,275,3,0,0,1
hotpeltier,6,6,3,0,239,30,1,15
peltier,3,0,6,0,30,253,7,1
pen,1,39,20,0,2,0,238,0
sponge,6,4,4,1,11,11,1,262
