Time,25W,25X,25Y,25Z,25P,25Q
3.340,2196,2643,3851,75,79,79
3.360,2007,2652,3765,70,81,68
3.380,2266,2661,3904,78,80,84
3.400,2247,2657,3904,93,80,87
3.420,2303,2678,3912,80,90,80
3.440,2149,2648,3863,81,79,73
3.460,1877,2644,3755,67,72,65
3.480,2186,2681,3949,82,79,82
3.500,2297,2669,3908,89,87,85
3.520,2389,2664,3910,89,91,89
3.540,2147,2664,3851,81,75,80
3.560,1969,2642,3714,61,66,72
3.580,2223,2653,3923,84,88,83
3.600,2266,2654,3883,87,82,80
3.620,2237,2663,3899,89,87,73
3.640,2239,2657,3856,84,79,79
3.660,1975,2663,3751,76,74,64
3.680,2156,2672,3911,73,86,88
3.700,2247,2663,3911,86,87,82
3.720,2294,2666,3887,101,83,87
3.740,2183,2645,3861,72,82,81
3.760,1954,2634,3746,66,74,63
3.780,2205,2669,3909,83,80,89
3.800,2253,2661,3892,81,77,82
3.820,2291,2704,3931,85,97,90
3.840,2193,2646,3850,87,88,82
3.860,2010,2635,3722,76,73,59
3.880,2193,2668,3907,82,78,80
3.900,2284,2664,3936,100,98,93
3.920,2193,2657,3911,79,90,91
3.940,2260,2690,3843,78,81,88
3.960,2062,2651,3715,52,72,59
3.980,2268,2679,3898,87,82,88
4.000,2312,2634,3957,86,81,88
4.020,2300,2664,3911,93,79,88
4.040,2106,2639,3853,76,82,94
4.060,2088,2639,3700,72,63,62
4.080,2236,2661,3920,78,87,79
4.100,2290,2675,3992,91,84,89
4.120,2280,2646,3906,106,89,79
4.140,2165,2643,3851,86,79,82
4.160,2017,2639,3660,23,61,72
4.180,2279,2648,3904,80,77,86
4.200,2372,2669,4040,94,79,88
4.220,2256,2655,3916,79,98,88
4.240,2215,2652,3839,74,78,78
4.260,2032,2640,3651,64,67,69
4.280,2242,2659,3916,78,83,82
4.300,2358,2626,4095,94,94,136
4.320,2228,2640,4074,85,92,78
4.340,2240,2642,3772,76,80,78
4.360,2061,2667,2769,72,72,67
4.380,2278,2651,3897,84,73,90
4.400,2293,2629,4095,92,98,79
4.420,2338,2661,4095,83,84,74
4.440,2182,2644,3663,80,74,73
4.460,2107,2659,2486,80,68,65
4.480,2267,2648,3908,80,82,81
4.500,2416,2625,4095,94,91,113
4.520,2303,2713,4095,87,109,83
4.540,2308,2647,3583,71,81,77
4.560,2146,2628,1931,76,69,44
4.580,2220,2648,3921,77,83,83
4.600,2411,2663,4095,88,87,90
4.620,2334,2658,4095,71,83,100
4.640,2180,2653,3399,82,71,84
4.660,2063,2617,1583,74,71,56
4.680,2245,2646,3946,88,86,80
4.700,2366,2665,4095,108,89,100
4.720,2259,2661,4095,77,83,81
4.740,2159,2656,3327,76,75,69
4.760,2249,2624,1277,73,73,72
4.780,2263,2677,3952,84,94,81
4.800,2272,2683,4095,90,86,90
4.820,2116,2680,4095,85,89,88
4.840,2205,2659,3218,83,72,75
4.860,2077,2649,1372,58,68,82
4.880,2299,2646,3960,71,86,86
4.900,2385,2671,4095,100,96,112
4.920,2278,2698,4095,88,85,84
4.940,2259,2645,3169,82,84,76
4.960,2109,2629,1277,62,81,67
4.980,2215,2645,3976,109,75,85
5.000,2292,2656,4095,157,102,113
5.020,2257,2668,4095,88,95,92
5.040,2214,2661,3103,82,85,79
5.060,2098,2664,1451,75,73,70
5.080,2264,2657,3972,93,83,83
5.100,2297,2638,4095,159,111,97
5.120,2244,2652,4095,92,87,97
5.140,2233,2662,2957,86,77,79
5.160,2140,2647,1484,73,75,70
5.180,2281,2661,4006,87,87,100
5.200,2362,2647,4095,99,88,106
5.220,2320,2661,4095,85,90,85
5.240,2206,2649,3335,80,81,82
5.260,2097,2650,3777,72,78,67
5.280,2282,2668,3922,84,88,80
5.300,2432,2659,3971,82,88,90
5.320,2281,2643,3892,81,88,85
5.340,2250,2655,3769,83,85,80
5.360,2235,2657,3727,82,86,79
5.380,2237,2656,3938,84,84,81
5.400,2258,2654,4047,85,80,80
5.420,2238,2652,3892,80,76,86
5.440,2241,2656,3774,86,84,84
5.460,2247,2655,3722,86,84,88
5.480,2267,2665,3919,84,80,81
5.500,2257,2652,4034,78,86,77
5.520,2254,2660,3895,81,76,81
5.540,2244,2653,3773,81,83,81
5.560,2244,2657,3734,79,83,79
5.580,2246,2657,3944,77,79,77
5.600,2249,2651,4026,84,80,88
5.620,2245,2635,3905,84,85,81
5.640,2246,2658,3757,85,83,84
5.660,2244,2654,3738,84,84,84
5.680,2244,2658,3928,86,78,88
5.700,2259,2660,4046,86,83,80
5.720,2253,2656,3891,83,80,81
5.740,2229,2657,3783,80,82,83
5.760,2232,2653,3753,79,82,82
5.780,2236,2659,3936,77,88,80
5.800,2247,2662,4051,78,83,84
5.820,2235,2660,3904,79,79,80
5.840,2232,2662,3781,84,79,79
5.860,2233,2656,3746,81,77,81
5.880,2246,2661,3926,81,77,84
5.900,2242,2667,4038,84,79,83
5.920,2246,2656,3875,82,82,85
5.940,2233,2654,3788,77,81,77
5.960,2246,2660,3738,79,82,80
5.980,2235,2657,3918,80,82,78
6.000,2242,2661,4035,81,80,79
6.020,2256,2653,3879,79,81,81
6.040,2242,2658,3796,82,84,81
6.060,2235,2657,3745,86,75,81
6.080,2237,2655,3919,77,79,81
6.100,2250,2668,4030,84,82,82
6.120,2253,2651,3896,83,77,77
6.140,2231,2659,3783,84,84,88
6.160,2229,2664,3741,82,77,77
6.180,2236,2656,3930,82,83,87
6.200,2249,2660,4045,85,82,88
6.220,2245,2655,3888,75,78,73
6.240,2233,2655,3793,77,76,79
6.260,2229,2658,3740,79,80,78
6.280,2252,2653,3935,79,79,78
6.300,2249,2657,4039,80,74,80
6.320,2236,2658,3888,81,75,77
6.340,2235,2656,3800,83,82,76
6.360,2237,2660,3790,81,77,80
6.380,2241,2655,3932,80,78,80
6.400,2245,2661,4021,82,78,85
6.420,2239,2649,3868,78,82,74
6.440,2232,2660,3798,82,80,78
6.460,2230,2660,3780,81,80,79
6.480,2257,2656,3922,81,81,82
6.500,2257,2662,4032,87,79,77
6.520,2243,2656,3852,79,78,82
6.540,2227,2655,3812,84,82,79
6.560,2273,2660,3824,78,83,86
6.580,2243,2666,3931,78,81,82
6.600,2245,2664,4012,83,83,81
6.620,2235,2649,3830,82,82,84
6.640,2232,2665,3823,80,79,80
6.660,2232,2659,3785,77,82,75
6.680,2241,2658,3922,81,85,85
6.700,2240,2659,4024,73,71,82
6.720,2235,2661,3822,84,78,84
6.740,2226,2658,3833,79,81,75
6.760,2242,2659,3833,76,84,80
6.780,2245,2661,3934,84,78,83
6.800,2239,2659,4029,83,80,81
6.820,2230,2661,3827,79,79,82
6.840,2235,2656,3823,75,79,85
6.860,2240,2665,3835,82,77,81
6.880,2239,2662,3927,85,76,84
6.900,2246,2662,4037,78,82,86
6.920,2237,2652,3816,80,82,81
6.940,2267,2658,3830,77,88,82
6.960,2231,2663,3819,80,77,77
