Time,W,X,Y
2.511,2117,1711,424
2.511,2117,1711,424
2.532,2130,1711,424
2.532,2130,1711,424
2.553,2109,1717,422
2.553,2109,1717,422
2.573,2118,1714,431
2.573,2118,1714,431
2.575,2116,1716,432
2.575,2116,1716,432
2.592,2112,1720,432
2.592,2112,1720,432
2.614,2112,1705,420
2.614,2112,1705,420
2.636,2107,1714,440
2.636,2107,1714,440
2.655,2116,1713,433
2.655,2116,1713,433
2.676,2140,1719,430
2.676,2140,1719,430
2.696,2120,1708,426
2.696,2120,1708,426
2.718,2111,1710,426
2.718,2111,1710,426
2.738,2112,1717,431
2.738,2112,1717,431
2.738,2116,1715,433
2.738,2116,1715,433
2.759,2118,1711,448
2.759,2118,1711,448
2.78,2122,1713,429
2.78,2122,1713,429
2.801,2117,1711,433
2.801,2117,1711,433
2.822,2116,1717,445
2.822,2116,1717,445
2.842,2118,1716,431
2.842,2118,1716,431
2.863,2117,1712,432
2.863,2117,1712,432
2.884,2109,1710,427
2.884,2109,1710,427
2.904,2112,1709,415
2.905,2112,1709,415
2.905,2106,1701,436
2.905,2106,1701,436
2.927,2120,1711,429
2.927,2120,1711,429
2.949,2116,1724,451
2.949,2116,1724,451
2.969,2117,1709,432
2.969,2117,1709,432
2.989,2103,1718,427
2.989,2103,1718,427
3.01,2121,1711,422
3.01,2121,1711,422
3.03,2116,1719,430
3.03,2116,1719,430
3.051,2117,1714,427
3.051,2117,1714,427
3.075,2118,1712,432
3.075,2118,1712,432
3.075,2112,1709,430
3.075,2112,1709,430
3.097,2121,1720,432
3.097,2121,1720,432
3.117,2114,1717,426
3.117,2114,1717,426
3.139,2126,1706,438
3.139,2126,1706,438
3.16,2108,1717,436
3.16,2108,1717,436
3.18,2114,1707,432
3.18,2114,1707,432
3.202,2133,1705,444
3.202,2133,1705,444
3.246,2112,1712,430
3.246,2112,1712,430
3.247,2113,1737,434
3.247,2113,1737,434
3.247,2113,1713,426
3.247,2113,1713,426
3.267,2114,1711,421
3.267,2114,1711,421
3.287,2120,1707,444
3.287,2120,1707,444
3.307,2121,1718,429
3.308,2121,1718,429
3.328,2117,1714,427
3.328,2117,1714,427
3.349,2115,1717,427
3.349,2115,1717,427
3.37,2127,1711,429
3.37,2127,1711,429
3.39,2120,1685,443
3.39,2120,1685,443
3.411,2113,1710,429
3.411,2113,1710,429
3.412,2114,1713,427
3.412,2114,1713,427
3.433,2110,1716,449
3.433,2110,1716,449
3.453,2115,1709,431
3.453,2115,1709,431
3.475,2126,1704,428
3.475,2126,1704,428
3.495,2122,1703,436
3.495,2122,1703,436
3.515,2119,1719,444
3.515,2119,1719,444
3.536,2116,1709,417
3.536,2116,1709,417
3.558,2119,1715,424
3.558,2119,1715,424
3.578,2119,1728,416
3.578,2119,1728,416
3.578,2120,1711,434
3.578,2120,1711,434
3.598,2134,1702,447
3.599,2134,1702,447
3.62,2117,1710,424
3.62,2117,1710,424
3.639,2108,1720,423
3.639,2108,1720,423
3.661,2121,1724,444
3.661,2121,1724,444
3.681,2119,1716,433
3.681,2119,1716,433
3.701,2119,1719,451
3.701,2119,1719,451
3.724,2113,1708,429
3.724,2113,1708,429
3.746,2095,1711,431
3.746,2095,1711,431
3.747,2113,1705,418
3.747,2113,1705,418
3.767,2121,1716,426
3.767,2121,1716,426
3.787,2119,1720,424
3.787,2119,1720,424
3.807,2112,1709,419
3.807,2112,1709,419
3.828,2116,1718,438
3.828,2116,1718,438
3.849,2124,1706,446
3.85,2124,1706,446
3.87,2122,1717,437
3.87,2122,1717,437
3.892,2128,1714,440
3.892,2128,1714,440
3.916,2119,1710,434
3.916,2119,1710,434
3.917,2112,1712,426
3.917,2112,1712,426
3.956,2109,1722,412
3.956,2109,1722,412
3.956,2121,1712,427
3.956,2121,1712,427
3.974,2128,1702,435
