,clipper,earbud,eraser,finger,hotpeltier,peltier,pen,sponge
clipper,0.7866666666666666,0.006666666666666667,0.02,0.10666666666666667,0.01,0.013333333333333334,0.016666666666666666,0.04
earbud,0.01,0.64,0.18666666666666668,0.0,0.02666666666666667,0.013333333333333334,0.11333333333333333,0.01
eraser,0.006666666666666667,0.056666666666666664,0.8033333333333333,0.0,0.013333333333333334,0.0033333333333333335,0.08,0.03666666666666667
finger,0.06666666666666667,0.0033333333333333335,0.006666666666666667,0.9,0.01,0.0,0.0033333333333333335,0.01
hotpeltier,0.04666666666666667,0.03333333333333333,0.0033333333333333335,0.0033333333333333335,0.7466666666666667,0.09333333333333334,0.006666666666666667,0.06666666666666667
peltier,0.013333333333333334,0.013333333333333334,0.016666666666666666,0.0,0.09,0.85,0.01,0.006666666666666667
pen,0.006666666666666667,0.10333333333333333,0.09333333333333334,0.0033333333333333335,0.01,0.006666666666666667,0.77,0.006666666666666667
sponge,0.01,0.0033333333333333335,0.016666666666666666,0.0033333333333333335,0.03666666666666667,0.03333333333333333,0.016666666666666666,0.88
