held_out_fold,held_out_groups,validation_block,n_train_total,n_train_original,n_val_original,n_test_original,best_val_acc,test_acc,test_macro_f1
1,"1,6",2,1680,1680,240,480,0.8125,0.7625,0.7610404876318356
2,"2,7",3,1680,1680,240,480,0.8041666666666667,0.8020833333333334,0.8009150963693497
3,"3,8",4,1680,1680,240,480,0.8291666666666667,0.8020833333333334,0.8024299307412852
4,"4,9",5,1680,1680,240,480,0.8,0.80625,0.8050925776234298
5,"5,10",1,1680,1680,240,480,0.8208333333333333,0.8125,0.8104963955798085
