epoch,train_loss_mean,train_loss_sd,val_loss_mean,val_loss_sd,train_acc_mean,train_acc_sd,val_acc_mean,val_acc_sd
1,2.283913066500709,0.05559056447398712,2.2167049153645833,0.03066401398608341,0.12227469630317675,0.008419620799593089,0.12333333333333334,0.009128709291752765
2,2.2441743948346096,0.034485375918068405,2.17467529296875,0.0205966642189781,0.12397127794988809,0.005504865033835685,0.125,0.01473139127471974
3,2.211531525112334,0.02734291661957735,2.1419417317708334,0.018251555771684056,0.1240041290649346,0.006849118516525466,0.125,0.01792151097300547
4,2.184545679546538,0.013039655108383385,2.1236718750000003,0.018553060627605384,0.12167632008115539,0.004604982108852262,0.12416666666666668,0.024895615410482762
5,2.1647497917356944,0.008465853820239089,2.1127506510416665,0.01742657110142048,0.13176541748900145,0.0026216142249730207,0.12250000000000001,0.02136813567493014
6,2.1401167102087113,0.013215054870542146,2.0563639322916663,0.013906959427491037,0.13938832272176765,0.010003941945257343,0.16833333333333333,0.021368135674930146
7,2.0726788091659545,0.016943286688183325,1.8792799886067708,0.06987088554855182,0.18132946288457052,0.012330061996628654,0.27166666666666667,0.04160411972122205
8,1.874606804620652,0.048845664635011714,1.5159059651692708,0.09913677804367696,0.28579079670565466,0.02156839502052224,0.39416666666666667,0.039153366536111706
9,1.6961884784698487,0.043058875504243616,1.3249348449707032,0.060298650487995785,0.380156439656303,0.02528707123644304,0.47750000000000004,0.012360330811826102
10,1.5893882914951871,0.05232981949671815,1.235784200032552,0.0977878239400541,0.4349057120936258,0.033761131678949605,0.5083333333333334,0.04965156369922075
11,1.5109352016448976,0.010733476700460466,1.1422896575927735,0.0704667141640748,0.46977124270938686,0.011875436452365433,0.5491666666666667,0.0357702933855579
12,1.3976321606408981,0.03830033722888064,1.0488378397623699,0.07990746501768152,0.5282161367507208,0.019283106065515435,0.6033333333333333,0.05546520430764579
13,1.3843173721858433,0.028058818408395074,0.9979962412516276,0.09554520729391983,0.54163286617824,0.01964387850943336,0.6366666666666667,0.05148826727193939
14,1.332229574748448,0.04002035304557469,0.9722808583577475,0.06271241568191824,0.5689343983786447,0.020107146493205136,0.6341666666666667,0.04076099033798535
15,1.2919704775583176,0.0276435404582143,0.9378420130411783,0.10241088386842195,0.5868830666655586,0.015886767784147274,0.6599999999999999,0.05175731295618468
16,1.2561439978508724,0.0342182404428368,0.9331722513834635,0.08235845648782651,0.609747694446927,0.013805592093181785,0.6475,0.02895758392315676
17,1.20689981619517,0.03792139934560651,0.8718880716959635,0.10181786560424651,0.6329303488277254,0.02327073228561359,0.6741666666666667,0.04243049872700322
18,1.15076179311389,0.07005907199292664,0.8656474939982097,0.05730327150581965,0.664485206093107,0.029609188107083087,0.6875,0.041142536787773965
19,1.0958446778569901,0.03567274898913652,0.8289700444539388,0.04949764514306955,0.6920088630630856,0.01606898941517086,0.7016666666666667,0.024579802006254398
20,1.1251467182522727,0.033389057723809255,0.7941862869262695,0.08596352430048101,0.6772450541314624,0.015554289737542274,0.7183333333333334,0.02095796056659883
21,1.0967441558837892,0.08078865271221011,0.76936767578125,0.08965546443567873,0.6937820300601778,0.032442008389367345,0.7241666666666667,0.03428333738454036
22,1.0706445112682523,0.05337274162674718,0.7767725753784179,0.07041008824393448,0.7040451406864893,0.02796386225550248,0.7283333333333333,0.029226129861250293
23,1.0103100271452041,0.057629337177272554,0.7637187576293945,0.060903992230652036,0.735205815122241,0.02613740399801175,0.73,0.030816436811834328
24,1.0193574383145285,0.09098579996434905,0.7544195874532064,0.07356291081446115,0.732534940696898,0.03710227646989758,0.74,0.02510395055232011
25,1.0146376668271564,0.021710790786663926,0.8525762303670248,0.08680014200759521,0.7288689244361151,0.011893168510138372,0.6900000000000001,0.030276503540974962
26,1.0072205017861866,0.04702431283148321,0.7553321329752605,0.055412370129935606,0.7349859386398678,0.02385502204608558,0.7375,0.015866193970549777
27,0.9640029526892162,0.04824002303836942,0.7633738454182943,0.053868149621111895,0.7594233190445673,0.021718655134704123,0.7491666666666668,0.02070795606631529
28,0.9536263899008433,0.029438596874675024,0.7643000030517578,0.05529535186962852,0.7616797841162908,0.009662338825414766,0.74,0.030132807886274218
29,0.9624730134010315,0.034146346079205483,0.7435630925496419,0.04642106774476012,0.7582929304100218,0.013430042217891396,0.7483333333333333,0.013372338779901018
30,0.9725831469467707,0.04628715772113758,0.7549473508199056,0.08715279263215177,0.7571751395861307,0.0190979018343271,0.7491666666666666,0.03902011589481052
31,0.9019869561422439,0.06275544976404296,0.7515724436442057,0.08140790437441546,0.7846313985188802,0.023301386883303847,0.7341666666666666,0.04212250652033373
32,0.9301322872865768,0.046892142905595006,0.7280021603902181,0.06726714401995938,0.7693433599244981,0.02358222261781811,0.755,0.02418820878950001
33,0.9596257561729068,0.061133011315679296,0.7058053843180339,0.07524733069469713,0.7646534122739519,0.03386786200900944,0.7683333333333333,0.0443510303024506
34,0.8890469700381869,0.03362441155281561,0.7321935844421387,0.07441221383586526,0.7947339298611595,0.012107034615923443,0.76,0.03315054046819347
35,0.9412452846481687,0.031454665164101794,0.7275749588012695,0.07764115609406105,0.7650856188933054,0.012688084427504255,0.7483333333333333,0.0349354563604243
36,0.9280781840710413,0.040811962472369345,0.6880000559488932,0.07113406214159029,0.7755993957178934,0.022684859236569616,0.7641666666666667,0.028504385627478448
37,0.8848506972903298,0.06917338973098455,0.6888523228963217,0.02034582691174518,0.7927885225840977,0.028557620367487158,0.7725,0.011636866703140765
38,0.8943313374973478,0.07566709613615308,0.7014229202270508,0.0654245451144857,0.7872159159183502,0.02786014759818011,0.7550000000000001,0.026744677559802043
39,0.9015765662420364,0.08434434253644818,0.7138074684143066,0.053475455147939714,0.7858782134737288,0.032901504404731406,0.7616666666666667,0.012638125740085947
40,0.8739910241535732,0.0484355164986538,0.6834361966451009,0.0875115570130191,0.8024092545963469,0.025467653043554524,0.7791666666666667,0.02062394778460763
41,0.8688022022587912,0.038527784835796205,0.7042655436197917,0.08838654277930268,0.80042315301441,0.01710607765548704,0.7725,0.02925581613590324
42,0.8971129670029594,0.07053004198304681,0.7115872065226237,0.08840913621847782,0.7897865402130854,0.029912227631959238,0.7641666666666667,0.03881938232950703
43,0.8815811773141226,0.016232708655246987,0.7163899358113607,0.06997867795259305,0.7945645107541766,0.007569858692604748,0.7566666666666666,0.030984987404297025
44,0.8864229398682004,0.06776467907692203,0.6821135711669921,0.048769959914398836,0.7956642643610636,0.027592979050589658,0.77,0.011180339887498968
45,0.8382700847444081,0.04954454930847295,0.6761628341674805,0.08761513202604669,0.8154645070575531,0.023624620325674625,0.7775000000000001,0.035183053054307606
46,0.8171775714556375,0.04992169183575221,0.6848972320556641,0.06821340892399161,0.8239174042996906,0.02027654141964995,0.7733333333333333,0.028351709727006666
47,0.8406976312115079,0.04443110938566168,0.6912339019775391,0.03970573523914785,0.8134004848343984,0.02176896358836637,0.7691666666666667,0.014006446928309683
