fold,epoch,train_loss,train_acc,val_loss,val_acc,lr,label_smoothing
1,1,2.314712572097778,0.12460754882721674,2.217964680989583,0.125,1.08e-05,0.05
1,2,2.262522604351952,0.13177644766512372,2.1684326171875,0.1375,1.56e-05,0.05
1,3,2.219066565377372,0.12167450774993216,2.130501302083333,0.1375,2.04e-05,0.05
1,4,2.193688070206415,0.12292120534749258,2.110062662760417,0.1125,2.5200000000000003e-05,0.05
1,5,2.1538698718661355,0.13004227714236116,2.100760904947917,0.1125,3e-05,0.05
1,6,2.133315594991048,0.13554187495084036,2.0662841796875,0.17916666666666667,3e-05,0.05
1,7,2.0755888711838497,0.1707767936523028,1.9870930989583333,0.20833333333333334,2.999162345595382e-05,0.05
1,8,1.9042733362742832,0.27607671675227935,1.548607381184896,0.37916666666666665,2.99665031793473e-05,0.05
1,9,1.7169984476906912,0.3887386923744565,1.393146769205729,0.4666666666666667,2.992466722632756e-05,0.05
1,10,1.5492172388803391,0.4662509018466586,1.2095288594563802,0.5625,2.98661623223217e-05,0.05
1,11,1.5169179791495913,0.4693350891272227,1.1050048828125,0.6083333333333333,2.979105380985043e-05,0.05
1,12,1.4334148475102015,0.5276161080314999,1.079413350423177,0.6333333333333333,2.9699425575548802e-05,0.05
1,13,1.354708499000186,0.5581836706116086,0.9457356770833333,0.6666666666666666,2.9591379956475555e-05,0.05
1,14,1.295075343904041,0.5856194456418355,0.945397694905599,0.6958333333333333,2.9467037625815645e-05,0.05
1,15,1.2955523593085152,0.5831946480841864,0.8542406717936198,0.7208333333333333,2.9326537458103684e-05,0.05
1,16,1.2168953316552298,0.6308359952200027,0.9126388549804687,0.6625,2.917003637411878e-05,0.05
1,17,1.159467891852061,0.663627438885825,0.8039599100748698,0.7166666666666667,2.8997709165624038e-05,0.05
1,18,1.1222809201195127,0.6824326194467999,0.8120967864990234,0.7125,2.880974830014643e-05,0.05
1,19,1.0800423871903193,0.7085087884040105,0.7962656656901042,0.7166666666666667,2.8606363706015114e-05,0.05
1,20,1.1333424647649128,0.6768305897712708,0.7890008290608724,0.725,2.838778253789822e-05,0.05
1,21,1.0524755682264055,0.7145832652137393,0.7335999806722006,0.7416666666666667,2.8154248923100077e-05,0.05
1,22,0.9912978830791656,0.7412309680666243,0.7648629506429037,0.7333333333333333,2.7906023688902094e-05,0.05
1,23,0.9267183303833008,0.7762711638496036,0.7954424540201823,0.7458333333333333,2.7643384071251957e-05,0.05
1,24,0.9711921805427188,0.7494261230741228,0.734424082438151,0.7666666666666667,2.7366623405126405e-05,0.05
1,25,1.0199323608761741,0.722143182300386,0.8690910975138346,0.6875,2.7076050796913445e-05,0.05
1,26,1.0792161833672296,0.6957676546914237,0.7429470698038737,0.7583333333333333,2.6771990779179916e-05,0.05
1,27,0.9655560113134838,0.761574303536188,0.6983086268107096,0.7833333333333333,2.6454782948209983e-05,0.05
1,28,0.9369583180972508,0.7660485148429871,0.6934051513671875,0.7833333333333333,2.612478158471937e-05,0.05
1,29,0.9700061707269578,0.7551704523109254,0.7468359629313152,0.7666666666666667,2.5782355258168943e-05,0.05
1,30,0.9209932758694603,0.7788818915685017,0.7105936050415039,0.775,2.542788641511964e-05,0.05
1,31,0.8838774630001613,0.7978586475054423,0.717356808980306,0.75,2.5061770952088356e-05,0.05
1,32,0.8633262810252962,0.7978487883295332,0.7017649332682292,0.7791666666666667,2.4684417773382037e-05,0.05
