Time,25W,25X,25Y,25Z,25P,25Q
3.340,1884,2652,3706,42,44,42
3.360,1871,2648,4002,37,43,43
3.380,1884,2648,3877,43,39,39
3.400,1874,2647,3569,39,42,43
3.420,1876,2654,3606,41,39,41
3.440,1880,2645,3699,37,39,41
3.460,1875,2655,4011,43,42,42
3.480,1876,2649,3871,42,39,42
3.500,1863,2651,3550,42,41,43
3.520,1878,2651,3573,41,47,39
3.540,1879,2656,3682,39,40,40
3.560,1880,2650,3982,42,55,47
3.580,1875,2651,3863,43,40,39
3.600,1873,2651,3564,44,39,37
3.620,1877,2645,3570,39,38,44
3.640,1889,2652,3683,44,42,41
3.660,1874,2654,4001,45,38,38
3.680,1879,2660,3862,51,37,45
3.700,1863,2652,3561,42,44,42
3.720,1876,2649,3562,40,40,39
3.740,1878,2653,3697,41,39,41
3.760,1876,2650,4008,39,37,39
3.780,1877,2649,3867,48,39,44
3.800,1880,2643,3543,39,39,40
3.820,1871,2656,3572,41,37,40
3.840,1875,2647,3693,38,41,38
3.860,1876,2643,3995,46,42,42
3.880,1875,2649,3861,45,43,38
3.900,1867,2648,3544,44,42,39
3.920,1870,2650,3565,41,42,37
3.940,1873,2642,3697,31,42,39
3.960,1877,2647,4001,40,39,34
3.980,1875,2648,3855,42,41,44
4.000,1871,2638,3537,41,42,35
4.020,1876,2648,3565,40,43,39
4.040,1869,2656,3696,41,45,44
4.060,1871,2664,3992,38,39,40
4.080,1872,2645,3853,39,40,40
4.100,1873,2646,3543,38,40,42
4.120,1875,2648,3564,44,45,42
4.140,1876,2649,3688,42,37,44
4.160,1875,2649,4012,40,35,42
4.180,1871,2647,3863,39,43,48
4.200,1862,2649,3554,36,40,39
4.220,1875,2652,3557,46,45,48
4.240,1871,2653,3688,43,42,42
4.260,1875,2646,3991,40,44,40
4.280,1872,2649,3859,44,41,41
4.300,1874,2653,3564,42,42,43
4.320,1872,2643,3549,45,39,42
4.340,1873,2652,3678,39,45,39
4.360,1872,2653,4010,42,39,40
4.380,1872,2652,3851,41,42,44
4.400,1873,2643,3575,43,36,39
4.420,1871,2654,3553,42,40,40
4.440,1872,2649,3675,39,42,39
4.460,1878,2651,3987,42,50,43
4.480,1878,2653,3849,48,41,43
4.500,1865,2652,3582,41,48,40
4.520,1877,2647,3547,39,40,42
4.540,1875,2648,3690,37,38,48
4.560,1878,2651,3997,42,45,46
4.580,1866,2654,3852,43,38,44
4.600,1868,2649,3558,39,40,38
4.620,1872,2649,3555,41,44,42
4.640,1875,2652,3687,39,39,36
4.660,1877,2656,4016,42,43,39
4.680,1876,2649,3852,43,43,42
4.700,1878,2647,3560,38,38,38
4.720,1874,2653,3549,41,41,38
4.740,1878,2655,3687,39,42,41
4.760,1887,2648,4010,41,47,40
4.780,1875,2652,3853,45,40,42
4.800,1863,2646,3576,41,38,40
4.820,1880,2652,3552,42,44,44
4.840,1876,2651,3688,40,41,44
4.860,1877,2648,4009,38,41,41
4.880,1874,2651,3854,38,41,43
4.900,1861,2654,3576,40,39,39
4.920,1872,2651,3543,40,45,44
4.940,1873,2651,3688,46,42,44
4.960,1870,2650,3995,43,39,41
4.980,1865,2653,3869,40,39,40
5.000,1876,2651,3607,39,46,41
5.020,1872,2646,3557,40,42,43
5.040,1874,2650,3712,42,41,40
5.060,1876,2649,4035,41,39,43
5.080,1877,2647,3883,42,44,38
5.100,1865,2648,3640,43,35,42
5.120,1870,2652,3571,49,43,41
5.140,1871,2650,3683,39,40,43
5.160,1863,2656,3991,43,41,41
5.180,1872,2647,3880,38,39,42
5.200,1868,2646,3652,42,43,37
5.220,1879,2648,3583,41,42,44
5.240,1866,2656,3693,41,44,36
5.260,1880,2652,3988,40,47,44
5.280,1869,2642,3893,41,42,41
5.300,1875,2647,3648,42,36,37
5.320,1874,2652,3596,41,41,42
5.340,1874,2652,3709,40,39,39
5.360,1865,2649,4010,42,40,44
5.380,1872,2650,3893,44,35,40
5.400,1870,2651,3656,43,42,38
5.420,1872,2655,3601,41,48,44
