Time,25W,25X,25Y,25Z,25P,25Q
3.340,2143,2899,3998,400,406,396
3.360,2158,2898,4027,396,396,398
3.380,2137,2896,3998,405,407,402
3.400,2137,2900,3949,390,393,400
3.420,2100,2893,3883,394,403,392
3.440,2144,2907,3995,400,400,398
3.460,2152,2899,4051,399,404,401
3.480,2144,2891,3972,393,404,406
3.500,2135,2900,3963,396,392,399
3.520,2139,2887,3892,400,405,399
3.540,2142,2897,3988,395,394,397
3.560,2143,2905,4019,388,395,396
3.580,2140,2900,4001,391,398,397
3.600,2139,2894,3966,402,400,396
3.620,2157,2914,3902,393,404,396
3.640,2142,2907,3988,397,399,412
3.660,2141,2925,4037,416,401,421
3.680,2141,2899,3965,405,405,401
3.700,2154,2895,3972,400,404,399
3.720,2135,2900,3886,400,390,403
3.740,2140,2899,3986,405,398,404
3.760,2143,2895,4095,413,393,418
3.780,2142,2907,3987,407,399,405
3.800,2150,2912,3976,406,399,411
3.820,2138,2899,3883,397,392,395
3.840,2144,2897,3991,399,405,395
3.860,2160,2904,4095,406,405,406
3.880,2128,2902,4010,396,406,398
3.900,2131,2901,3974,399,401,399
3.920,2122,2899,3877,393,385,395
3.940,2141,2896,3996,401,400,399
3.960,2152,2900,4095,398,404,395
3.980,2142,2907,3984,401,404,394
4.000,2144,2901,3975,394,404,394
4.020,2142,2908,3929,401,397,394
4.040,2135,2900,3992,395,395,395
4.060,2135,2905,4093,400,399,400
4.080,2138,2892,3998,396,397,392
4.100,2141,2893,3984,398,397,410
4.120,2132,2903,3936,397,409,394
4.140,2137,2895,4001,395,396,393
4.160,2158,2900,4085,395,388,402
4.180,2138,2897,3991,386,406,392
4.200,2139,2897,3971,398,396,398
4.220,2135,2892,3912,391,391,398
4.240,2123,2895,4003,395,401,402
4.260,2137,2904,4078,398,397,394
4.280,2134,2894,3979,401,407,404
4.300,2139,2900,3975,403,395,403
4.320,2128,2894,3939,390,392,385
4.340,2151,2904,3999,398,396,396
4.360,2146,2896,4045,393,400,388
4.380,2139,2904,3983,391,404,394
4.400,2143,2894,3976,428,398,400
4.420,2136,2901,3931,399,401,408
4.440,2140,2899,3993,397,398,395
4.460,2141,2903,4056,405,391,402
4.480,2136,2890,3975,393,389,394
4.500,2137,2911,3986,393,393,400
4.520,2137,2916,3958,405,400,401
4.540,2137,2896,4000,404,398,396
4.560,2137,2903,4082,397,391,402
4.580,2133,2890,3954,391,397,395
4.600,2137,2893,3975,393,398,394
4.620,2137,2904,3924,389,378,388
4.640,2145,2897,4012,396,408,391
4.660,2136,2897,4095,391,393,388
4.680,2141,2901,3993,394,392,392
4.700,2137,2906,3994,389,393,392
4.720,2149,2898,3961,386,386,391
4.740,2146,2904,3995,393,392,397
4.760,2157,2900,4078,392,386,391
4.780,2147,2893,3957,388,392,390
4.800,2138,2889,3960,396,394,394
4.820,2134,2894,3967,410,392,400
4.840,2134,2895,3990,394,398,395
4.860,2140,2897,4071,394,396,399
4.880,2135,2895,3968,394,394,400
