epoch,train_loss,train_acc,val_loss,val_acc,lr,label_smoothing
1,2.302674635251363,0.13467705224951107,2.2495930830637616,0.13333333333333333,1.08e-05,0.05
2,2.268735822041829,0.130403462673227,2.2095987796783447,0.14583333333333334,1.56e-05,0.05
3,2.214466913541158,0.13466391389568647,2.1672770182291665,0.14166666666666666,2.04e-05,0.05
4,2.1604785601298016,0.14532614002625147,2.1334798018137615,0.13333333333333333,2.5200000000000003e-05,0.05
5,2.145577319463094,0.14174736465017002,2.111283365885417,0.15416666666666667,3e-05,0.05
6,2.067744747797648,0.17719482059280078,1.95626220703125,0.20833333333333334,3e-05,0.05
7,1.8123275876045226,0.33141758491595585,1.5888397216796875,0.4166666666666667,2.9998033254984483e-05,0.05
8,1.616488254070282,0.4305979788303375,1.1261850992838542,0.6041666666666666,2.9992133535682725e-05,0.05
9,1.491150403022766,0.49067286352316536,1.1308690547943114,0.6375000002483527,2.998230238919386e-05,0.05
10,1.3439069827397665,0.5553944091002146,0.9853225866953532,0.6416666666666667,2.9968542393565674e-05,0.05
11,1.3466910362243651,0.5614846110343933,1.2283733526865641,0.6166666666666667,2.9950857157118544e-05,0.05
12,1.2811966101328531,0.5816495259602864,0.9809440612792969,0.645833333581686,2.9929251317499212e-05,0.05
13,1.1939329961935679,0.6372589349746705,0.9030270973841349,0.6625,2.990373054046467e-05,0.05
14,1.2685224175453187,0.5862765391667684,0.820740008354187,0.6625000009934108,2.9874301518396384e-05,0.05
15,1.1261311709880828,0.6632182498772939,0.81749001344045,0.7375,2.9840971968545348e-05,0.05
16,1.1771576523780822,0.6346520781517029,0.8319290081659952,0.7208333353201548,2.980375063100837e-05,0.05
17,1.0318450450897216,0.6975068897008896,0.828092074394226,0.6750000009934107,2.9762647266436125e-05,0.05
18,1.0580982983112335,0.7070639222860337,0.8035143613815308,0.7166666666666667,2.9717672653473598e-05,0.05
19,1.1511477530002594,0.6762647201617559,0.869998033841451,0.6833333353201548,2.9668838585933568e-05,0.05
20,1.0873206913471223,0.6926773726940155,0.9346298297246297,0.6708333343267441,2.9616157869703905e-05,0.05
21,1.0856645206610362,0.6981225132942199,1.0150307973225912,0.6583333334575097,2.95596443193894e-05,0.05
22,1.0177199721336365,0.7272754987080892,0.8940452496210735,0.6708333333333333,2.949931275468918e-05,0.05
23,1.0068681259950003,0.7283870150645574,0.8747562328974406,0.6916666666666667,2.9435178996510466e-05,0.05
24,0.96163250207901,0.745888689160347,0.8949843247731527,0.6625000009934108,2.936725986281982e-05,0.05
25,0.9743886560201644,0.7447126487890879,0.8353902180989583,0.7166666746139526,2.9295573164232926e-05,0.05
26,0.9633506069580714,0.7479875355958938,0.8385770082473755,0.7333333333333333,2.9220137699344072e-05,0.05
27,0.9365415612856547,0.7609985202550889,0.7884743928909301,0.7291666666666666,2.914097324979653e-05,0.05
28,1.0348469942808152,0.7203754544258117,0.9248909711837768,0.683333334326744,2.905810057509517e-05,0.05
29,0.9318282961845398,0.7533496250708898,0.8933685382207235,0.712500003973643,2.897154140716265e-05,0.05
30,0.9016281882921855,0.7753191888332367,0.8921523968378703,0.7375,2.8881318444640577e-05,0.05
31,0.9199162433544795,0.7783291200796764,0.8081878582636516,0.7208333333333333,2.87874553469372e-05,0.05
32,0.9275841305653254,0.7651713838179907,0.8353142976760864,0.7166666706403096,2.8689976728023116e-05,0.05
33,0.8814119845628738,0.7991677145163218,0.8470354795455932,0.7041666706403097,2.8588908149976716e-05,0.05
34,0.8254527111848196,0.8118703067302704,0.8258455912272136,0.7125000019868215,2.8484276116280943e-05,0.05
35,0.8358138461907705,0.8002402395009994,0.7525738954544068,0.7291666706403096,2.8376108064873226e-05,0.05
36,0.8990020354588827,0.7794141481320064,0.9236490329106649,0.7208333373069763,2.8264432360950365e-05,0.05
37,0.8515963037808736,0.7944246689478557,0.8113934914271037,0.7166666666666667,2.814927828953023e-05,0.05
38,0.7974927484989166,0.8225991537173589,0.9145479758580526,0.7416666666666667,2.803067604777228e-05,0.05
39,0.9096965541442236,0.7857308407624563,0.91009521484375,0.7208333353201548,2.790865673705889e-05,0.05
40,0.7080709973971049,0.869506448507309,0.8758731762568156,0.7041666706403097,2.778325235483955e-05,0.05
41,0.7548486799001694,0.8451767186323802,1.0225186030069986,0.6416666676600774,2.765449578624008e-05,0.05
42,0.8151850759983063,0.8179358889659246,0.8886275053024292,0.7208333333333333,2.752242079543908e-05,0.05
43,0.8573453317085902,0.7898984581232071,0.8926260709762573,0.7041666706403097,2.7387062016813858e-05,0.05
44,0.768721079826355,0.8228267620007197,0.9297893444697062,0.712500003973643,2.7248454945858174e-05,0.05
45,0.9146665791670482,0.7713842958211898,0.8881467262903849,0.7291666686534881,2.7106635929874153e-05,0.05
46,0.8511345793803533,0.7926582376162211,0.8312577565511068,0.6916666666666667,2.6961642158440824e-05,0.05
47,0.8520187616348267,0.8004462738831838,0.8829686403274536,0.725,2.681351165366183e-05,0.05
48,0.7599588731924692,0.8437238454818725,0.8548795064290364,0.7250000019868215,2.6662283260194756e-05,0.05
49,0.8475051234165828,0.794622274239858,0.990711259841919,0.6916666666666667,2.6507996635064806e-05,0.05
50,0.7723445932070414,0.8372141371170679,0.8666725158691406,0.7125000019868215,2.635069223726544e-05,0.05
