Time,W,X,Y
0.000,2116,1709,429
0.020,2111,1724,429
0.040,2111,1724,429
0.060,2134,1714,452
0.080,2134,1714,452
0.100,2118,1708,419
0.120,2118,1708,419
0.140,2112,1718,417
0.160,2115,1715,432
0.180,2115,1715,432
0.200,2114,1715,420
0.220,2114,1715,420
0.240,2120,1711,424
0.260,2120,1711,424
0.280,2107,1714,431
0.300,2107,1714,431
0.320,2122,1704,439
0.340,2122,1704,439
0.360,2117,1714,429
0.380,2117,1714,429
0.400,2117,1711,424
0.420,2117,1711,424
0.440,2118,1713,429
0.460,2118,1713,429
0.480,2113,1715,424
0.500,2113,1715,424
0.520,2107,1714,441
0.540,2107,1714,441
0.560,2116,1707,427
0.580,2116,1707,427
0.600,2112,1709,415
0.620,2112,1709,415
0.640,2117,1721,438
0.660,2117,1721,438
0.680,2128,1715,431
0.700,2128,1715,431
0.720,2122,1712,427
0.740,2122,1712,427
0.760,2113,1713,423
0.780,2117,1730,433
0.800,2117,1730,433
0.820,2116,1715,429
0.840,2116,1715,429
0.860,2128,1714,436
0.880,2128,1714,436
0.900,2115,1705,439
0.920,2115,1705,439
0.940,2120,1706,420
0.960,2120,1706,420
0.980,2120,1714,438
1.000,2120,1714,438
1.020,2115,1711,429
1.040,2115,1711,429
1.060,2124,1720,419
1.080,2124,1720,419
1.100,2128,1707,432
1.120,2128,1707,432
1.140,2120,1709,429
1.160,2120,1709,429
1.180,2119,1707,425
1.200,2119,1707,425
1.220,2120,1711,431
1.240,2120,1711,431
1.260,2124,1704,454
1.280,2124,1704,454
1.300,2117,1720,426
1.320,2117,1720,426
1.340,2118,1720,432
1.360,2118,1720,432
1.380,2128,1716,430
1.400,2128,1716,430
1.420,2115,1707,430
1.440,2115,1707,430
1.460,2109,1721,444
1.480,2109,1721,444
1.500,2121,1713,428
1.520,2121,1713,428
1.540,2120,1711,434
1.560,2120,1711,434
1.580,2122,1712,444
1.600,2122,1712,444
1.620,2124,1713,432
1.640,2124,1713,432
1.660,2116,1715,429
1.680,2116,1715,429
1.700,2126,1709,430
1.720,2126,1709,430
1.740,2117,1711,427
1.760,2117,1711,427
1.780,2119,1717,430
1.800,2119,1717,430
1.820,2117,1711,423
1.840,2117,1711,423
1.860,2114,1717,426
1.880,2114,1717,426
1.900,2117,1707,430
1.920,2117,1707,430
1.940,2115,1713,430
1.960,2115,1713,430
1.980,2105,1712,442
2.000,2105,1712,442
2.020,2114,1717,431
2.040,2114,1717,431
2.060,2127,1723,431
2.080,2127,1723,431
2.100,2121,1727,434
2.120,2121,1727,434
2.140,2118,1709,434
2.160,2118,1709,434
2.180,2130,1719,431
2.200,2130,1719,431
2.220,2109,1714,433
2.240,2109,1714,433
2.260,2119,1718,436
2.280,2119,1718,436
2.300,2113,1704,433
2.320,2113,1704,433
2.340,2115,1714,427
2.360,2115,1714,427
2.380,2110,1701,422
2.400,2110,1701,422
2.420,2118,1709,433
2.440,2118,1709,433
2.460,2110,1712,441
2.480,2110,1712,441
2.500,2115,1720,437
2.520,2115,1720,437
2.540,2117,1720,425
2.560,2117,1720,425
2.580,2120,1709,427
2.600,2120,1709,427
2.620,2110,1708,431
2.640,2110,1708,431
2.660,2112,1721,436
2.680,2112,1721,436
2.700,2118,1709,423
2.720,2118,1709,423
2.740,2105,1711,420
2.760,2105,1711,420
2.780,2111,1721,436
2.800,2111,1721,436
2.820,2111,1717,423
2.840,2111,1717,423
2.860,2116,1711,439
2.880,2116,1711,439
2.900,2119,1711,430
2.920,2119,1711,430
2.940,2116,1710,438
2.960,2116,1710,438
2.980,2119,1711,426
3.000,2119,1711,426
3.020,2110,1716,439
3.040,2110,1716,439
3.060,2107,1717,434
3.080,2107,1717,434
3.100,2108,1709,424
3.120,2108,1709,424
3.140,2107,1715,425
3.160,2107,1715,425
3.180,2126,1714,432
3.200,2126,1714,432
3.220,2120,1709,429
3.240,2120,1709,429
3.260,2130,1719,423
3.280,2130,1719,423
3.300,2113,1714,421
3.320,2113,1714,421
3.340,2117,1706,420
3.360,2117,1706,420
3.380,2120,1712,439
3.400,2120,1712,439
3.420,2120,1715,440
3.440,2120,1715,440
3.460,2114,1718,447
3.480,2114,1718,447
3.500,2116,1708,431
3.520,2116,1708,431
3.540,2106,1710,426
3.560,2106,1710,426
3.580,2119,1705,423
3.600,2119,1705,423
3.620,2111,1714,422
3.640,2111,1714,422
3.660,2104,1717,443
3.680,2104,1717,443
3.700,2116,1714,442
3.720,2116,1714,442
3.740,2113,1722,436
3.760,2113,1722,436
3.780,2115,1714,430
3.800,2115,1714,430
3.820,2119,1712,437
3.840,2119,1712,437
3.860,2115,1708,447
3.880,2115,1708,447
3.900,2111,1714,435
3.920,2111,1714,435
3.940,2103,1714,430
3.960,2103,1714,430
3.980,2119,1711,433
4.000,2119,1711,433
4.020,2120,1718,436
4.040,2120,1718,436
4.060,2119,1700,442
4.080,2119,1700,442
4.100,2103,1715,433
4.120,2103,1715,433
4.140,2110,1717,427
4.160,2110,1717,427
4.180,2114,1702,428
4.200,2114,1702,428
4.220,2117,1716,430
4.240,2117,1716,430
4.260,2127,1717,457
4.280,2127,1717,457
4.300,2110,1706,432
4.320,2110,1706,432
4.340,2114,1710,421
4.360,2114,1710,421
4.380,2115,1705,410
4.400,2115,1705,410
4.420,2116,1714,410
4.440,2116,1714,410
4.460,2109,1713,452
4.480,2109,1713,452
4.500,2109,1711,427
4.520,2109,1711,427
4.540,2113,1704,415
4.560,2113,1704,415
4.580,2117,1712,411
4.600,2117,1712,411
4.620,2115,1717,434
4.640,2115,1717,434
4.660,2129,1711,419
4.680,2129,1711,419
4.700,2113,1715,437
